,genres
607,"[80, 18, 9648, 53]"
608,"[16, 18, 10749]"
609,"[27, 18, 14]"
610,[18]
611,"[28, 10751, 18]"
612,[18]
613,"[18, 10752, 10749]"
614,"[18, 53, 10752]"
615,"[16, 878, 28, 18]"
616,"[18, 53, 27]"
617,"[18, 53]"
618,"[18, 80]"
619,"[35, 18, 10749]"
620,"[12, 18, 28, 10749, 10751]"
621,[18]
622,"[18, 80]"
623,"[28, 18, 53]"
624,"[28, 18, 53]"
625,"[28, 18, 53]"
626,"[18, 10749]"
627,"[35, 10402, 18]"
628,"[18, 28]"
629,"[80, 18]"
630,"[36, 10752, 18, 12]"
631,"[18, 53, 10752]"
632,"[18, 10749]"
633,"[28, 18, 9648, 53]"
634,"[80, 18, 53]"
635,[18]
636,"[27, 36, 18, 53]"
637,"[28, 18, 9648, 53]"
638,"[14, 18, 9648]"
639,"[18, 53, 36, 10752]"
640,"[16, 10751, 14]"
641,"[16, 12, 10751, 35]"
642,"[16, 35, 10751]"
643,"[12, 35, 10751, 14]"
644,"[16, 35, 10751, 14]"
645,"[16, 35, 10751, 12]"
646,"[10749, 10751, 16]"
647,"[10751, 16, 12, 35]"
648,"[16, 35, 10751, 12]"
649,"[14, 16, 10751]"
650,"[16, 14, 10751]"
651,"[28, 35, 10751]"
652,"[10751, 35, 14]"
653,"[35, 10751, 12, 10749]"
654,"[10751, 12, 16, 35]"
655,"[16, 35, 10751]"
656,"[14, 16, 10751]"
657,"[35, 10751]"
658,"[14, 35, 10751, 10749]"
659,"[35, 18, 10751, 10402, 10749]"
660,"[14, 16, 10749, 10751]"
661,"[12, 14, 10751]"
662,"[16, 35, 10751, 14]"
663,"[28, 12, 35, 10751]"
664,"[12, 14, 28, 35, 10751]"
665,"[35, 10751, 12]"
666,"[16, 35, 10751, 12, 14]"
667,"[16, 10751]"
668,"[16, 35, 10751]"
669,"[16, 28, 10751, 878]"
670,"[35, 10751, 16, 14, 10402]"
671,"[28, 878, 12, 35, 10751]"
672,"[12, 10751, 14, 878, 53, 28]"
673,"[16, 10751, 35, 878]"
674,"[35, 10749, 18, 10751, 10402]"
675,"[28, 12, 35, 10751, 14]"
676,"[35, 10751]"
677,"[12, 10751, 14]"
678,"[16, 10751]"
679,"[12, 14, 16, 28, 10751, 10749]"
680,"[35, 10751, 12, 16]"
681,"[10751, 35, 16]"
682,"[35, 10751]"
683,"[878, 16, 28, 12, 10751]"
684,"[10751, 35, 878, 12, 16]"
685,"[35, 10751, 12, 14, 10749]"
686,"[35, 10751]"
687,"[35, 18, 10751, 10749]"
688,"[12, 16, 35, 10751]"
689,"[16, 10751, 12, 35]"
690,"[35, 18, 10751]"
691,"[10751, 16]"
692,"[16, 878, 10751]"
693,"[10751, 16, 12, 14]"
694,"[10751, 14, 28, 12, 35]"
695,"[12, 16, 35, 10751]"
